index,successful,passed_ring,collision_free,dynamically_feasible,endpoint_feasible,minimum_barrier,crossing_clearance,maximum_speed,maximum_acceleration,path_length,start_position_error,goal_position_error,start_velocity_error,goal_velocity_error
0,True,True,True,True,True,0.20402185272312762,0.3051055096688002,1.5982197974430032,1.9999989653335,3.5282646008096403,0.0,2.6668472207145996e-15,0.0016066211384331143,0.001566406167318585
1,True,True,True,True,True,0.41905274942598547,0.49220673409841104,1.8241809579987387,1.9999990603991313,4.306644913281779,0.0,9.326534230477077e-15,0.0018271581748936332,0.0018477115791323345
2,True,True,True,True,True,0.38311037339981907,0.47567832227661544,1.2784860517188643,1.999998353934101,3.7316215189452073,0.0,9.930136612989092e-16,0.0014808543011957161,0.0013609018841326025
3,True,True,True,True,True,0.27472047928254983,0.3801711130824944,1.3292893852949599,1.999997981616791,3.248744388466761,0.0,3.6771686055379495e-15,0.0012775992047810666,0.0013582257318866446
4,True,True,True,True,True,0.21860631673986985,0.317510100134385,1.5172865093108256,1.9999985574165045,3.751638251642468,0.0,8.473409486550036e-16,0.0013958100687546464,0.0014214738620797753
5,True,True,True,True,True,0.28449252936789876,0.383445463015612,1.4361235025945522,1.9999982959918072,3.556366474933056,0.0,6.237042840057389e-15,0.0013665365717131102,0.0014829309719578965
6,True,True,True,True,True,0.25318185209953037,0.34748669962529366,1.3561772933730705,1.9999978152951392,4.167182636006933,0.0,6.243524040666089e-15,0.0014824635046251135,0.001345371126667462
7,True,True,True,True,True,0.33067287129170053,0.43041220484389,1.2548993321920932,1.9999976364397267,3.3580277276213764,0.0,1.851943855780944e-15,0.001311723796008878,0.0013915834210284342
8,True,True,True,True,True,0.26251239578593744,0.3691395937547997,1.4425940393133687,1.9999984866797709,3.339720955773434,0.0,1.4093301783636638e-15,0.0013383365550188504,0.0013797755191650237
9,True,True,True,True,True,0.22671725445591534,0.32840907669679525,1.8891293823792539,1.9999988312028016,4.146844231555728,0.0,8.08254562088053e-16,0.0018885928328666683,0.001916468396050685
10,True,True,True,True,True,0.2973823864879951,0.3949878273559049,1.0168972809700059,1.9999983056936959,3.022895777462905,0.0,4.684364995852737e-15,0.0010850296592911993,0.0010557598064630442
11,True,True,True,True,True,0.23737225574941478,0.34371999965468214,1.1222837184768986,1.999998193839391,3.4278170216565984,0.0,8.21733804794302e-15,0.001086223673101368,0.001190241711824432
12,True,True,True,True,True,0.2189317082433544,0.3130420809868129,1.386943406476736,1.9999985892014343,3.875228908242056,0.0,2.638970003411226e-15,0.0011938179305418094,0.001389013120345995
13,True,True,True,True,True,0.31934614295316,0.4113414989071182,1.1933014786542215,1.9999986408345802,3.331962872808809,0.0,5.23691153334427e-16,0.0012488476408896352,0.001335355559395454
14,True,True,True,True,True,0.4527123482884686,0.5078977466220272,1.769373853256421,1.9999984737894196,3.7772681446260576,0.0,4.521007555157684e-15,0.0019187019944346964,0.001869549300556124
15,True,True,True,True,True,0.40858778928558814,0.4869333460725899,1.4025103937734287,1.9999987500135157,3.6972676183912156,0.0,4.491946442396235e-15,0.0013571536357385,0.0015108334433595212
16,True,True,True,True,True,0.32966479765536805,0.4154813573026066,1.7594262826624025,1.999999232249233,3.9072090749151385,0.0,5.80217678357777e-15,0.0017962438989776138,0.0017639124524058782
17,True,True,True,True,True,0.3244878889571092,0.4196825116493003,1.710500573836023,1.9999991617262205,3.7074795056974956,0.0,1.79383492860469e-15,0.0017338485055059022,0.0017607989149717855
18,True,True,True,True,True,0.4354254819563163,0.49443981694068906,1.5459233941906094,1.9999981491520311,3.973707932831029,0.0,3.636721891222372e-15,0.0013926132915723522,0.0014477192634678316
19,True,True,True,True,True,0.19417232002148221,0.29743062929828246,1.3816030709014244,1.9999986892426274,3.302436018354351,0.0,1.3517848686956847e-15,0.0013357462406609932,0.0013063888484540153
